"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 28 09:29:45 GMT 2022","Tue Jun 28 09:29:46 GMT 2022","847","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение списка городов get api/client/?action=city.list 200","Получение списка городов get api/client/?action=city.list 200",""
"failed","Tue Jun 28 09:29:47 GMT 2022","Tue Jun 28 09:29:48 GMT 2022","1073","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение детальной информации о событии get /api/client/?action=event.info 200","Получение детальной информации о событии get /api/client/?action=event.info 200",""
"failed","Tue Jun 28 09:29:51 GMT 2022","Tue Jun 28 09:29:52 GMT 2022","809","","API тесты клиентского приложения","","API тесты клиентского приложения","Продажа заказа /api/client/?action=order.sold 200","Продажа заказа /api/client/?action=order.sold 200",""
"failed","Tue Jun 28 09:29:51 GMT 2022","Tue Jun 28 09:29:51 GMT 2022","794","","API тесты клиентского приложения","","API тесты клиентского приложения","Оформление заказа /api/client/?action=order.make 200","Оформление заказа /api/client/?action=order.make 200",""
"failed","Tue Jun 28 09:29:48 GMT 2022","Tue Jun 28 09:29:49 GMT 2022","1333","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение билетов на событие /api/client/?action=sector.places 200","Получение билетов на событие /api/client/?action=sector.places 200",""
"failed","Tue Jun 28 09:29:44 GMT 2022","Tue Jun 28 09:29:45 GMT 2022","1076","","API тесты клиентского приложения","","API тесты клиентского приложения","Авторизация пользователя. get api/client/?action=login 200","Авторизация пользователя. get api/client/?action=login 200",""
"failed","Tue Jun 28 09:29:46 GMT 2022","Tue Jun 28 09:29:47 GMT 2022","1251","","API тесты клиентского приложения","","API тесты клиентского приложения","Получений списка событий get /api/client/?action=event.list 200","Получений списка событий get /api/client/?action=event.list 200",""
"failed","Tue Jun 28 09:29:49 GMT 2022","Tue Jun 28 09:29:51 GMT 2022","1051","","API тесты клиентского приложения","","API тесты клиентского приложения","Добавление билетов в корзину. Бронирование /api/client/?action=cart.add 200","Добавление билетов в корзину. Бронирование /api/client/?action=cart.add 200",""
