"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 28 09:41:03 GMT 2022","Tue Jun 28 09:41:04 GMT 2022","1089","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение билетов на событие /api/client/?action=sector.places 200","Получение билетов на событие /api/client/?action=sector.places 200",""
"failed","Tue Jun 28 09:41:02 GMT 2022","Tue Jun 28 09:41:03 GMT 2022","1079","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение детальной информации о событии get /api/client/?action=event.info 200","Получение детальной информации о событии get /api/client/?action=event.info 200",""
"failed","Tue Jun 28 09:41:01 GMT 2022","Tue Jun 28 09:41:02 GMT 2022","1095","","API тесты клиентского приложения","","API тесты клиентского приложения","Получений списка событий get /api/client/?action=event.list 200","Получений списка событий get /api/client/?action=event.list 200",""
"failed","Tue Jun 28 09:41:06 GMT 2022","Tue Jun 28 09:41:07 GMT 2022","1086","","API тесты клиентского приложения","","API тесты клиентского приложения","Продажа заказа /api/client/?action=order.sold 200","Продажа заказа /api/client/?action=order.sold 200",""
"failed","Tue Jun 28 09:41:00 GMT 2022","Tue Jun 28 09:41:01 GMT 2022","1087","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение списка городов get api/client/?action=city.list 200","Получение списка городов get api/client/?action=city.list 200",""
"failed","Tue Jun 28 09:40:58 GMT 2022","Tue Jun 28 09:41:00 GMT 2022","1645","","API тесты клиентского приложения","","API тесты клиентского приложения","Авторизация пользователя. get api/client/?action=login 200","Авторизация пользователя. get api/client/?action=login 200",""
"failed","Tue Jun 28 09:41:04 GMT 2022","Tue Jun 28 09:41:05 GMT 2022","1103","","API тесты клиентского приложения","","API тесты клиентского приложения","Добавление билетов в корзину. Бронирование /api/client/?action=cart.add 200","Добавление билетов в корзину. Бронирование /api/client/?action=cart.add 200",""
"failed","Tue Jun 28 09:41:05 GMT 2022","Tue Jun 28 09:41:06 GMT 2022","1127","","API тесты клиентского приложения","","API тесты клиентского приложения","Оформление заказа /api/client/?action=order.make 200","Оформление заказа /api/client/?action=order.make 200",""
