"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 28 09:51:17 GMT 2022","Tue Jun 28 09:51:18 GMT 2022","1196","","API тесты клиентского приложения","","API тесты клиентского приложения","Оформление заказа /api/client/?action=order.make 200","Оформление заказа /api/client/?action=order.make 200",""
"failed","Tue Jun 28 09:51:13 GMT 2022","Tue Jun 28 09:51:15 GMT 2022","2197","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение билетов на событие /api/client/?action=sector.places 200","Получение билетов на событие /api/client/?action=sector.places 200",""
"failed","Tue Jun 28 09:51:10 GMT 2022","Tue Jun 28 09:51:12 GMT 2022","1681","","API тесты клиентского приложения","","API тесты клиентского приложения","Получений списка событий get /api/client/?action=event.list 200","Получений списка событий get /api/client/?action=event.list 200",""
"failed","Tue Jun 28 09:51:12 GMT 2022","Tue Jun 28 09:51:13 GMT 2022","1171","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение детальной информации о событии get /api/client/?action=event.info 200","Получение детальной информации о событии get /api/client/?action=event.info 200",""
"failed","Tue Jun 28 09:51:18 GMT 2022","Tue Jun 28 09:51:19 GMT 2022","1711","","API тесты клиентского приложения","","API тесты клиентского приложения","Продажа заказа /api/client/?action=order.sold 200","Продажа заказа /api/client/?action=order.sold 200",""
"failed","Tue Jun 28 09:51:07 GMT 2022","Tue Jun 28 09:51:09 GMT 2022","1923","","API тесты клиентского приложения","","API тесты клиентского приложения","Авторизация пользователя. get api/client/?action=login 200","Авторизация пользователя. get api/client/?action=login 200",""
"failed","Tue Jun 28 09:51:15 GMT 2022","Tue Jun 28 09:51:17 GMT 2022","1174","","API тесты клиентского приложения","","API тесты клиентского приложения","Добавление билетов в корзину. Бронирование /api/client/?action=cart.add 200","Добавление билетов в корзину. Бронирование /api/client/?action=cart.add 200",""
"failed","Tue Jun 28 09:51:09 GMT 2022","Tue Jun 28 09:51:10 GMT 2022","1679","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение списка городов get api/client/?action=city.list 200","Получение списка городов get api/client/?action=city.list 200",""
