"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 29 13:54:13 GMT 2022","Wed Jun 29 13:54:15 GMT 2022","1766","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение детальной информации о событии get /api/client/?action=event.info 200","Получение детальной информации о событии get /api/client/?action=event.info 200",""
"failed","Wed Jun 29 13:54:09 GMT 2022","Wed Jun 29 13:54:10 GMT 2022","1377","","API тесты клиентского приложения","","API тесты клиентского приложения","Авторизация пользователя. get api/client/?action=login 200","Авторизация пользователя. get api/client/?action=login 200",""
"failed","Wed Jun 29 13:54:10 GMT 2022","Wed Jun 29 13:54:12 GMT 2022","1062","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение списка городов get api/client/?action=city.list 200","Получение списка городов get api/client/?action=city.list 200",""
"failed","Wed Jun 29 13:54:15 GMT 2022","Wed Jun 29 13:54:16 GMT 2022","1062","","API тесты клиентского приложения","","API тесты клиентского приложения","Получение билетов на событие /api/client/?action=sector.places 200","Получение билетов на событие /api/client/?action=sector.places 200",""
"failed","Wed Jun 29 13:54:12 GMT 2022","Wed Jun 29 13:54:13 GMT 2022","1339","","API тесты клиентского приложения","","API тесты клиентского приложения","Получений списка событий get /api/client/?action=event.list 200","Получений списка событий get /api/client/?action=event.list 200",""
"failed","Wed Jun 29 13:54:18 GMT 2022","Wed Jun 29 13:54:19 GMT 2022","789","","API тесты клиентского приложения","","API тесты клиентского приложения","Продажа заказа /api/client/?action=order.sold 200","Продажа заказа /api/client/?action=order.sold 200",""
"failed","Wed Jun 29 13:54:16 GMT 2022","Wed Jun 29 13:54:17 GMT 2022","1077","","API тесты клиентского приложения","","API тесты клиентского приложения","Добавление билетов в корзину. Бронирование /api/client/?action=cart.add 200","Добавление билетов в корзину. Бронирование /api/client/?action=cart.add 200",""
"failed","Wed Jun 29 13:54:17 GMT 2022","Wed Jun 29 13:54:18 GMT 2022","1140","","API тесты клиентского приложения","","API тесты клиентского приложения","Оформление заказа /api/client/?action=order.make 200","Оформление заказа /api/client/?action=order.make 200",""
